"Ann_Level3","n_cells","TRSS_corrected_mean","TRSS_corrected_median"
"Basal_Progenitor",7471,0.328091519117935,0.290029724913121
"COMA",4993,0.297637325404523,0.182431221934452
"Fibrogenic",13910,-0.0512873455512568,-0.163997130655225
"Interactive",2047,-0.0828006451400452,-0.235139035058061
"MP_Progenitor",10083,-0.292507681039104,-0.794774209876765
"Proliferative",246,-0.316982896587801,-1.03414977674877
