"Ann_Level3","n_cells","TRSS_corrected_mean","TRSS_corrected_median","Repstress_mean"
"Basal_Progenitor",11254,0.469524262279685,0.446190697430697,-0.0118688129443166
"COMA",6613,0.416291727912036,0.213246285535524,-0.0308223597539894
"Fibrogenic",19910,-0.10606339043724,-0.260524949460494,-0.0194218525225622
"MP_Progenitor",18276,-0.158681688143394,-0.748388860955867,0.00231287966042803
"Interactive",3775,-0.162808651345798,-0.286425618322857,0.00210178634275321
"Proliferative",10799,-0.223221775111902,-0.248542121107424,0.0713220167760946
