"Ann_Level3","n_cells","TRSS_corrected_mean","TRSS_corrected_median","Repstress_raw_mean","Repstress_corrected_mean"
"Basal_Progenitor",11254,0.470407348014366,0.495850548837232,-0.0118688129443166,0.00533424845749885
"COMA",6613,0.377567251985662,0.165789160896752,-0.0308223597539894,-0.00874361187804217
"Fibrogenic",19910,-0.0616853509188862,-0.20332376686334,-0.0194218525225622,-0.00123744905839773
"Interactive",3775,-0.171248546999617,-0.310415035784907,0.00210178634275321,0.00371587713939233
"MP_Progenitor",18276,-0.196547864339865,-0.809911528105218,0.00231287966042803,0.0044843848314836
"Proliferative",10799,-0.215213368047135,-0.220531680419162,0.0713220167760946,-0.00681142415222738
